Membrane Name (abbreviation),Block A (x),Block B (1-x),Block A/B ratio,Polymer type,Conductivity Measuring Temperature [oC],Membrane Anion Conductivity [S/cm],Cluster No.,principal component 0_A,principal component 1_A,principal component 2_A,principal component 3_A,principal component 4_A,principal component 5_A,principal component 6_A,principal component 7_A,principal component 8_A,principal component 9_A,principal component 10_A,principal component 11_A,principal component 12_A,principal component 13_A,principal component 14_A,principal component 15_A,principal component 16_A,principal component 17_A,principal component 18_A,principal component 19_A,principal component 20_A,principal component 21_A,principal component 22_A,principal component 23_A,principal component 24_A,principal component 25_A,principal component 26_A,principal component 27_A,principal component 28_A,principal component 29_A,principal component 30_A,principal component 31_A,principal component 0_B,principal component 1_B,principal component 2_B,principal component 3_B,principal component 4_B,principal component 5_B,principal component 6_B,principal component 7_B,principal component 8_B,principal component 9_B,principal component 10_B,principal component 11_B,principal component 12_B,principal component 13_B,principal component 14_B,principal component 15_B,principal component 16_B,principal component 17_B,principal component 18_B,principal component 19_B,principal component 20_B,principal component 21_B,principal component 22_B,principal component 23_B,principal component 24_B,principal component 25_B,principal component 26_B,principal component 27_B,principal component 28_B,principal component 29_B,principal component 30_B,principal component 31_B
PBI-c-PVBC/OH,0.66,0.34,1.94,1,80,0.0413,5,-19.77661712,1.25575261,-10.83804889,1.248903459,-4.622449137,0.786403963,3.55376088,7.171814557,-0.051094262,0.994548184,0.852806207,1.005238222,-4.83690041,6.942176943,4.08892879,-1.593169034,-4.832748483,9.700382812,-2.303393979,0.96592882,1.289702295,-2.357276043,0.185384488,11.40027058,-1.088001415,-1.566358094,-0.040445829,5.775596567,-1.489429965,0.128079538,-0.729138028,-2.426788184,10.30229542,14.90757216,2.348725315,-12.88895258,1.01111344,15.43988767,-4.699282248,-1.320909978,2.244947634,-6.86424384,15.60412338,-5.899082308,2.349214722,10.60533769,0.636324911,-1.913318493,3.530323584,4.803150207,1.921757498,4.288372142,4.95499684,-1.411145672,-0.290526125,-2.032091951,-0.92669764,-0.239092099,1.771091272,-1.297749443,-1.717821049,-0.97544931,-0.586560221,-0.041672151
QPPO-1.78,0.509,0.491,1.04,1,80,0.0641,3,-27.01161495,0.519984173,28.48615061,-4.508366577,12.56983784,0.168274803,2.920921273,2.352459332,3.056654383,-1.943076717,-1.250982921,0.442058081,-1.3087468,0.424048892,-1.080928836,2.640863654,-0.629272574,-0.870523154,1.340787367,-1.890405038,0.74302203,-0.966885873,0.684498432,0.530936422,0.720780822,0.359394051,1.728403973,0.606683116,-0.100485831,-0.426640968,0.368867864,0.058519091,-5.210227182,-2.439380843,-11.51411681,0.249472231,2.769116903,5.5547239,21.30884804,1.893191225,-5.814072129,-0.587177045,2.586344381,-0.417716174,2.224051858,-0.35511346,1.839279485,-0.810386432,-0.516858765,-5.35247845,-0.079583428,-1.729142213,3.119048123,-0.705345306,0.24590299,-0.299889461,1.471706482,-2.309315493,-2.380938777,0.870007689,3.12795088,-0.524921882,8.109985621,0.587627984
RC-QPPO-1.27,0.365,0.635,0.575,1,80,0.0298,3,-27.01161495,0.519984173,28.48615061,-4.508366577,12.56983784,0.168274803,2.920921273,2.352459332,3.056654383,-1.943076717,-1.250982921,0.442058081,-1.3087468,0.424048892,-1.080928836,2.640863654,-0.629272574,-0.870523154,1.340787367,-1.890405038,0.74302203,-0.966885873,0.684498432,0.530936422,0.720780822,0.359394051,1.728403973,0.606683116,-0.100485831,-0.426640968,0.368867864,0.058519091,-5.008424581,0.488579622,-10.49362217,1.153101029,1.37234816,5.453816104,16.08873852,0.0061088,-5.309273581,1.243361813,-0.514145118,-1.435511927,0.317930117,1.066965606,-0.490513749,-2.969100621,-3.372284917,-5.497070083,1.066329698,-1.13968574,2.780476783,-0.819095999,3.553347199,-2.39333861,-0.170603516,3.509544631,2.765941309,-0.477041522,-1.16011939,0.384419931,-1.662306795,-0.25268274
RC-QPPO-1.78,0.477,0.523,0.912,1,80,0.0643,3,-27.01161495,0.519984173,28.48615061,-4.508366577,12.56983784,0.168274803,2.920921273,2.352459332,3.056654383,-1.943076717,-1.250982921,0.442058081,-1.3087468,0.424048892,-1.080928836,2.640863654,-0.629272574,-0.870523154,1.340787367,-1.890405038,0.74302203,-0.966885873,0.684498432,0.530936422,0.720780822,0.359394051,1.728403973,0.606683116,-0.100485831,-0.426640968,0.368867864,0.058519091,-5.008424581,0.488579622,-10.49362217,1.153101029,1.37234816,5.453816104,16.08873852,0.0061088,-5.309273581,1.243361813,-0.514145118,-1.435511927,0.317930117,1.066965606,-0.490513749,-2.969100621,-3.372284917,-5.497070083,1.066329698,-1.13968574,2.780476783,-0.819095999,3.553347199,-2.39333861,-0.170603516,3.509544631,2.765941309,-0.477041522,-1.16011939,0.384419931,-1.662306795,-0.25268274
RC-QPPO-2.13,0.545,0.455,1.198,1,80,0.0694,3,-27.01161495,0.519984173,28.48615061,-4.508366577,12.56983784,0.168274803,2.920921273,2.352459332,3.056654383,-1.943076717,-1.250982921,0.442058081,-1.3087468,0.424048892,-1.080928836,2.640863654,-0.629272574,-0.870523154,1.340787367,-1.890405038,0.74302203,-0.966885873,0.684498432,0.530936422,0.720780822,0.359394051,1.728403973,0.606683116,-0.100485831,-0.426640968,0.368867864,0.058519091,-5.008424581,0.488579622,-10.49362217,1.153101029,1.37234816,5.453816104,16.08873852,0.0061088,-5.309273581,1.243361813,-0.514145118,-1.435511927,0.317930117,1.066965606,-0.490513749,-2.969100621,-3.372284917,-5.497070083,1.066329698,-1.13968574,2.780476783,-0.819095999,3.553347199,-2.39333861,-0.170603516,3.509544631,2.765941309,-0.477041522,-1.16011939,0.384419931,-1.662306795,-0.25268274
RC1-QPPO-2.13,0.519,0.481,1.08,1,80,0.042,3,-27.01161495,0.519984173,28.48615061,-4.508366577,12.56983784,0.168274803,2.920921273,2.352459332,3.056654383,-1.943076717,-1.250982921,0.442058081,-1.3087468,0.424048892,-1.080928836,2.640863654,-0.629272574,-0.870523154,1.340787367,-1.890405038,0.74302203,-0.966885873,0.684498432,0.530936422,0.720780822,0.359394051,1.728403973,0.606683116,-0.100485831,-0.426640968,0.368867864,0.058519091,-5.008424581,0.488579622,-10.49362217,1.153101029,1.37234816,5.453816104,16.08873852,0.0061088,-5.309273581,1.243361813,-0.514145118,-1.435511927,0.317930117,1.066965606,-0.490513749,-2.969100621,-3.372284917,-5.497070083,1.066329698,-1.13968574,2.780476783,-0.819095999,3.553347199,-2.39333861,-0.170603516,3.509544631,2.765941309,-0.477041522,-1.16011939,0.384419931,-1.662306795,-0.25268274
RC2-QPPO-2.13,0.528,0.472,1.119,1,80,0.0393,3,-27.01161495,0.519984173,28.48615061,-4.508366577,12.56983784,0.168274803,2.920921273,2.352459332,3.056654383,-1.943076717,-1.250982921,0.442058081,-1.3087468,0.424048892,-1.080928836,2.640863654,-0.629272574,-0.870523154,1.340787367,-1.890405038,0.74302203,-0.966885873,0.684498432,0.530936422,0.720780822,0.359394051,1.728403973,0.606683116,-0.100485831,-0.426640968,0.368867864,0.058519091,-5.008424581,0.488579622,-10.49362217,1.153101029,1.37234816,5.453816104,16.08873852,0.0061088,-5.309273581,1.243361813,-0.514145118,-1.435511927,0.317930117,1.066965606,-0.490513749,-2.969100621,-3.372284917,-5.497070083,1.066329698,-1.13968574,2.780476783,-0.819095999,3.553347199,-2.39333861,-0.170603516,3.509544631,2.765941309,-0.477041522,-1.16011939,0.384419931,-1.662306795,-0.25268274
[VBI] Styrene A,0.357,0.643,0.555,1,80,0.0493,2,-29.26724818,0.608846185,-8.427845555,5.299751755,6.637922376,0.305376127,-8.303917686,1.479779102,1.612254629,5.431747602,1.084309904,-0.586903607,-2.472973297,-4.574394731,1.158215133,-4.260433092,2.588499022,3.55190074,5.459002853,2.331491105,0.046217598,-2.543463571,-0.103063857,-1.413577124,1.343744301,1.666494847,1.065158332,-1.59436468,0.597546052,2.688240295,-0.426207373,-0.738169676,-28.28249638,1.013691261,7.689042769,-7.116743942,-2.726612382,-1.987593254,1.202011286,0.123153078,2.064270946,0.687807689,-1.615479429,4.12400827,-0.796976832,-0.390321279,1.542244888,0.204801583,1.128758579,-0.927672546,3.041856848,5.284600673,-0.520559959,2.086752671,1.049464126,-2.389432282,-2.67331747,-1.365789239,0.898971952,-0.335771301,-1.135483765,-1.672303007,0.812738959,-1.554113588
[VBI] Styrene B,0.286,0.714,0.4,1,80,0.0294,2,-29.26724818,0.608846185,-8.427845555,5.299751755,6.637922376,0.305376127,-8.303917686,1.479779102,1.612254629,5.431747602,1.084309904,-0.586903607,-2.472973297,-4.574394731,1.158215133,-4.260433092,2.588499022,3.55190074,5.459002853,2.331491105,0.046217598,-2.543463571,-0.103063857,-1.413577124,1.343744301,1.666494847,1.065158332,-1.59436468,0.597546052,2.688240295,-0.426207373,-0.738169676,-28.28249638,1.013691261,7.689042769,-7.116743942,-2.726612382,-1.987593254,1.202011286,0.123153078,2.064270946,0.687807689,-1.615479429,4.12400827,-0.796976832,-0.390321279,1.542244888,0.204801583,1.128758579,-0.927672546,3.041856848,5.284600673,-0.520559959,2.086752671,1.049464126,-2.389432282,-2.67331747,-1.365789239,0.898971952,-0.335771301,-1.135483765,-1.672303007,0.812738959,-1.554113588
[VBI] Styrene C,0.222,0.778,0.285,1,80,0.0261,2,-29.26724818,0.608846185,-8.427845555,5.299751755,6.637922376,0.305376127,-8.303917686,1.479779102,1.612254629,5.431747602,1.084309904,-0.586903607,-2.472973297,-4.574394731,1.158215133,-4.260433092,2.588499022,3.55190074,5.459002853,2.331491105,0.046217598,-2.543463571,-0.103063857,-1.413577124,1.343744301,1.666494847,1.065158332,-1.59436468,0.597546052,2.688240295,-0.426207373,-0.738169676,-28.28249638,1.013691261,7.689042769,-7.116743942,-2.726612382,-1.987593254,1.202011286,0.123153078,2.064270946,0.687807689,-1.615479429,4.12400827,-0.796976832,-0.390321279,1.542244888,0.204801583,1.128758579,-0.927672546,3.041856848,5.284600673,-0.520559959,2.086752671,1.049464126,-2.389432282,-2.67331747,-1.365789239,0.898971952,-0.335771301,-1.135483765,-1.672303007,0.812738959,-1.554113588
[VMI] Styrene D,0.455,0.545,0.835,1,80,0.0279,2,-34.03207525,-1.915769052,-3.790292584,6.791225295,13.85629415,2.019371854,-13.93807255,9.160613016,0.958882824,3.541441993,4.756129834,-0.132092947,-2.698471826,2.340878283,-3.732921948,1.078281568,8.600571468,3.064629513,-5.478354761,-2.40499894,0.540743696,2.092197623,-1.44491615,-1.536024923,4.370618442,0.852035529,-2.530695595,3.347041149,0.647132765,-1.628568161,2.102915892,-0.122360867,-28.28249638,1.013691261,7.689042769,-7.116743942,-2.726612382,-1.987593254,1.202011286,0.123153078,2.064270946,0.687807689,-1.615479429,4.12400827,-0.796976832,-0.390321279,1.542244888,0.204801583,1.128758579,-0.927672546,3.041856848,5.284600673,-0.520559959,2.086752671,1.049464126,-2.389432282,-2.67331747,-1.365789239,0.898971952,-0.335771301,-1.135483765,-1.672303007,0.812738959,-1.554113588
[VMI] Styrene E,0.417,0.583,0.715,1,80,0.0206,2,-34.03207525,-1.915769052,-3.790292584,6.791225295,13.85629415,2.019371854,-13.93807255,9.160613016,0.958882824,3.541441993,4.756129834,-0.132092947,-2.698471826,2.340878283,-3.732921948,1.078281568,8.600571468,3.064629513,-5.478354761,-2.40499894,0.540743696,2.092197623,-1.44491615,-1.536024923,4.370618442,0.852035529,-2.530695595,3.347041149,0.647132765,-1.628568161,2.102915892,-0.122360867,-28.28249638,1.013691261,7.689042769,-7.116743942,-2.726612382,-1.987593254,1.202011286,0.123153078,2.064270946,0.687807689,-1.615479429,4.12400827,-0.796976832,-0.390321279,1.542244888,0.204801583,1.128758579,-0.927672546,3.041856848,5.284600673,-0.520559959,2.086752671,1.049464126,-2.389432282,-2.67331747,-1.365789239,0.898971952,-0.335771301,-1.135483765,-1.672303007,0.812738959,-1.554113588
[VMI] Styrene F,0.333,0.667,0.499,1,80,0.0146,2,-34.03207525,-1.915769052,-3.790292584,6.791225295,13.85629415,2.019371854,-13.93807255,9.160613016,0.958882824,3.541441993,4.756129834,-0.132092947,-2.698471826,2.340878283,-3.732921948,1.078281568,8.600571468,3.064629513,-5.478354761,-2.40499894,0.540743696,2.092197623,-1.44491615,-1.536024923,4.370618442,0.852035529,-2.530695595,3.347041149,0.647132765,-1.628568161,2.102915892,-0.122360867,-28.28249638,1.013691261,7.689042769,-7.116743942,-2.726612382,-1.987593254,1.202011286,0.123153078,2.064270946,0.687807689,-1.615479429,4.12400827,-0.796976832,-0.390321279,1.542244888,0.204801583,1.128758579,-0.927672546,3.041856848,5.284600673,-0.520559959,2.086752671,1.049464126,-2.389432282,-2.67331747,-1.365789239,0.898971952,-0.335771301,-1.135483765,-1.672303007,0.812738959,-1.554113588
Membrane-0,0.116,0.884,0.131,1,80,0.07358,2,-29.24934165,0.622479809,-8.540262077,5.272717184,6.569510948,-0.027465294,-8.122708123,1.593793048,1.547708949,5.360226427,1.028740417,-0.562860128,-2.36509507,-4.58152393,0.945379314,-4.399344572,2.636652816,3.613552567,5.464329519,2.264804441,0.044555734,-2.548016689,-0.144172784,-1.337143707,1.517786983,1.747699217,1.025230259,-1.798897452,0.538134531,2.582266977,-0.32137124,-0.677459442,-21.14993013,1.309542056,6.932031383,-5.913098524,2.525488796,1.45891668,0.974080196,1.493887823,1.450526081,3.042705234,-3.858751662,5.348240024,-2.856377843,0.237082727,-1.956783598,-4.613494293,-1.612321447,1.250021834,-0.435832184,6.819204941,-0.846392912,0.825361892,2.015457936,1.637722657,-0.226563998,-0.745976645,-2.44561992,1.751759245,-0.594845021,2.365399062,2.429501562,-1.974910552
Membrane-3,0.941,0.059,15.949,1,80,0.07739,8,-19.4977223,-0.967746271,-11.44591728,1.817520291,3.009354093,1.107026703,-2.199989147,-2.564401147,-0.262210215,0.86448126,2.11068697,-0.273607303,-2.67723507,-4.230777133,1.319768585,-1.557334973,1.491748495,1.004532074,3.560296762,0.983036103,0.710635737,-3.710975969,-0.507454878,-0.354519803,-1.447098603,-0.296689885,1.459270106,-0.130497743,-1.865770308,-0.054734256,-1.82565876,-1.881596033,-8.749287231,7.051125617,6.637847094,10.22099273,30.86365025,8.18343028,-3.520491048,-0.071182003,1.990354734,-3.855923001,-2.555921797,1.471213257,-1.456425002,-0.641223897,0.878220393,-1.154152081,0.344262209,-0.958762555,1.067001957,-1.179854086,-0.511353302,-0.462803558,-0.186278024,-0.030743865,-0.858016749,-0.421253979,-0.159493106,-0.46321383,0.060540209,0.006430099,-0.124309005,-0.086054457
Membrane-5,0.906,0.094,9.659,1,80,0.08058,8,-19.4977223,-0.967746271,-11.44591728,1.817520291,3.009354093,1.107026703,-2.199989147,-2.564401147,-0.262210215,0.86448126,2.11068697,-0.273607303,-2.67723507,-4.230777133,1.319768585,-1.557334973,1.491748495,1.004532074,3.560296762,0.983036103,0.710635737,-3.710975969,-0.507454878,-0.354519803,-1.447098603,-0.296689885,1.459270106,-0.130497743,-1.865770308,-0.054734256,-1.82565876,-1.881596033,-8.749287231,7.051125617,6.637847094,10.22099273,30.86365025,8.18343028,-3.520491048,-0.071182003,1.990354734,-3.855923001,-2.555921797,1.471213257,-1.456425002,-0.641223897,0.878220393,-1.154152081,0.344262209,-0.958762555,1.067001957,-1.179854086,-0.511353302,-0.462803558,-0.186278024,-0.030743865,-0.858016749,-0.421253979,-0.159493106,-0.46321383,0.060540209,0.006430099,-0.124309005,-0.086054457
Membrane-7,0.873,0.127,6.874,1,80,0.06993,8,-19.4977223,-0.967746271,-11.44591728,1.817520291,3.009354093,1.107026703,-2.199989147,-2.564401147,-0.262210215,0.86448126,2.11068697,-0.273607303,-2.67723507,-4.230777133,1.319768585,-1.557334973,1.491748495,1.004532074,3.560296762,0.983036103,0.710635737,-3.710975969,-0.507454878,-0.354519803,-1.447098603,-0.296689885,1.459270106,-0.130497743,-1.865770308,-0.054734256,-1.82565876,-1.881596033,-8.749287231,7.051125617,6.637847094,10.22099273,30.86365025,8.18343028,-3.520491048,-0.071182003,1.990354734,-3.855923001,-2.555921797,1.471213257,-1.456425002,-0.641223897,0.878220393,-1.154152081,0.344262209,-0.958762555,1.067001957,-1.179854086,-0.511353302,-0.462803558,-0.186278024,-0.030743865,-0.858016749,-0.421253979,-0.159493106,-0.46321383,0.060540209,0.006430099,-0.124309005,-0.086054457
Membrane-10,0.828,0.172,4.814,1,80,0.06581,8,-19.4977223,-0.967746271,-11.44591728,1.817520291,3.009354093,1.107026703,-2.199989147,-2.564401147,-0.262210215,0.86448126,2.11068697,-0.273607303,-2.67723507,-4.230777133,1.319768585,-1.557334973,1.491748495,1.004532074,3.560296762,0.983036103,0.710635737,-3.710975969,-0.507454878,-0.354519803,-1.447098603,-0.296689885,1.459270106,-0.130497743,-1.865770308,-0.054734256,-1.82565876,-1.881596033,-8.749287231,7.051125617,6.637847094,10.22099273,30.86365025,8.18343028,-3.520491048,-0.071182003,1.990354734,-3.855923001,-2.555921797,1.471213257,-1.456425002,-0.641223897,0.878220393,-1.154152081,0.344262209,-0.958762555,1.067001957,-1.179854086,-0.511353302,-0.462803558,-0.186278024,-0.030743865,-0.858016749,-0.421253979,-0.159493106,-0.46321383,0.060540209,0.006430099,-0.124309005,-0.086054457
Membrane-15,0.763,0.237,3.219,1,80,0.05498,8,-19.4977223,-0.967746271,-11.44591728,1.817520291,3.009354093,1.107026703,-2.199989147,-2.564401147,-0.262210215,0.86448126,2.11068697,-0.273607303,-2.67723507,-4.230777133,1.319768585,-1.557334973,1.491748495,1.004532074,3.560296762,0.983036103,0.710635737,-3.710975969,-0.507454878,-0.354519803,-1.447098603,-0.296689885,1.459270106,-0.130497743,-1.865770308,-0.054734256,-1.82565876,-1.881596033,-8.749287231,7.051125617,6.637847094,10.22099273,30.86365025,8.18343028,-3.520491048,-0.071182003,1.990354734,-3.855923001,-2.555921797,1.471213257,-1.456425002,-0.641223897,0.878220393,-1.154152081,0.344262209,-0.958762555,1.067001957,-1.179854086,-0.511353302,-0.462803558,-0.186278024,-0.030743865,-0.858016749,-0.421253979,-0.159493106,-0.46321383,0.060540209,0.006430099,-0.124309005,-0.086054457
Membrane-20,0.707,0.293,2.413,1,80,0.04674,8,-19.4977223,-0.967746271,-11.44591728,1.817520291,3.009354093,1.107026703,-2.199989147,-2.564401147,-0.262210215,0.86448126,2.11068697,-0.273607303,-2.67723507,-4.230777133,1.319768585,-1.557334973,1.491748495,1.004532074,3.560296762,0.983036103,0.710635737,-3.710975969,-0.507454878,-0.354519803,-1.447098603,-0.296689885,1.459270106,-0.130497743,-1.865770308,-0.054734256,-1.82565876,-1.881596033,-8.749287231,7.051125617,6.637847094,10.22099273,30.86365025,8.18343028,-3.520491048,-0.071182003,1.990354734,-3.855923001,-2.555921797,1.471213257,-1.456425002,-0.641223897,0.878220393,-1.154152081,0.344262209,-0.958762555,1.067001957,-1.179854086,-0.511353302,-0.462803558,-0.186278024,-0.030743865,-0.858016749,-0.421253979,-0.159493106,-0.46321383,0.060540209,0.006430099,-0.124309005,-0.086054457
Membrane-25,0.658,0.342,1.924,1,80,0.04166,8,-19.4977223,-0.967746271,-11.44591728,1.817520291,3.009354093,1.107026703,-2.199989147,-2.564401147,-0.262210215,0.86448126,2.11068697,-0.273607303,-2.67723507,-4.230777133,1.319768585,-1.557334973,1.491748495,1.004532074,3.560296762,0.983036103,0.710635737,-3.710975969,-0.507454878,-0.354519803,-1.447098603,-0.296689885,1.459270106,-0.130497743,-1.865770308,-0.054734256,-1.82565876,-1.881596033,-8.749287231,7.051125617,6.637847094,10.22099273,30.86365025,8.18343028,-3.520491048,-0.071182003,1.990354734,-3.855923001,-2.555921797,1.471213257,-1.456425002,-0.641223897,0.878220393,-1.154152081,0.344262209,-0.958762555,1.067001957,-1.179854086,-0.511353302,-0.462803558,-0.186278024,-0.030743865,-0.858016749,-0.421253979,-0.159493106,-0.46321383,0.060540209,0.006430099,-0.124309005,-0.086054457
BPPO-TEA,0.5,0.5,1,1,80,0.0125,3,-21.58023667,1.164585339,4.278754215,-1.488051938,3.196849403,-6.347244523,7.230570948,2.438954968,-2.816501324,1.419130484,-9.532639714,0.232350753,1.760317483,-4.391313154,-1.383535183,-7.971857263,-3.688332245,-0.009497559,6.011350349,-0.933941542,-3.292749144,-1.749263184,3.548477894,-1.555294776,0.167511833,1.463583475,-1.858933689,-3.242189855,1.325053863,3.79701951,2.025095911,-0.82766213,-26.04572566,-3.928148436,-8.428213298,6.481532131,-3.836049867,1.327097737,-5.11548675,0.652087973,1.048135368,-0.492079558,0.474540208,0.054710979,0.120788103,-0.193895354,0.684312836,0.370102459,-1.002973799,-0.231939375,-0.0845506,-0.17273624,-0.021539686,-0.528514416,-0.202313521,-0.188354777,0.012832802,0.192577181,0.103976387,-0.072701304,0.075083025,0.095272231,0.139294027,0.01368345
QPSU-TMA,0.951,0.049,19.41,1,80,0.035444,6,7.183307639,-1.704041585,9.765180212,-8.472328967,-4.833487429,3.70470703,-3.843229357,2.715967358,3.70112352,-1.900607607,-2.207263728,-0.699347694,1.125103276,1.602708047,-2.149004336,-1.415459352,3.101299023,0.260165265,-0.765130062,0.163829817,-2.170919537,1.581648677,-1.240092132,0.049155002,-0.881183525,-1.910376419,1.592427889,-1.402289297,-0.692597956,1.776697499,-1.504322548,1.965477542,7.810017206,5.591440019,-2.88846709,-4.226896762,3.071914624,-8.44604623,-0.280762916,1.17022574,0.839551121,-0.70636538,1.217615584,0.595027547,-1.090097338,0.427072039,0.858426387,2.075493621,1.705078478,1.928647747,-0.568338884,-0.040157122,0.591314968,-0.212740041,1.405074381,0.419926755,-0.010544235,1.544258937,1.615936385,-0.294463713,-1.12339315,-1.027824625,-1.061620397,1.777418614
pure PBI,0.5,0.5,1,0,80,0.00395234,1,13.89084505,-35.37141509,0.160431022,0.408092859,10.47019975,21.27139984,14.00481967,-10.65340356,25.57748714,36.00630741,20.4553302,-14.35891172,11.21282621,1.141050507,-6.617641305,-8.148595214,-5.460358047,-7.236559414,-3.402397954,-2.495736375,-8.554142443,1.13901485,5.216965686,-0.590818113,-2.630258601,-0.348024627,0.295128324,1.964049377,1.497384534,-1.145185389,-0.900256827,-1.137919694,24.90188784,-10.64349117,8.26288576,-7.607670858,-2.674598051,17.54152725,-8.629942057,-3.403306975,-1.666415751,-8.488029051,15.64660042,-5.775812817,8.543123698,15.34531759,-6.257782508,-6.623438777,5.373792257,5.008928063,9.567542194,7.01095323,11.19302861,-7.974513629,-3.283015447,1.091756417,-3.912206366,2.587862468,-2.003733532,0.000829197,2.010990519,0.57038399,0.119563877,0.11074562
ImPPO,0.315,0.685,0.46,1,80,0.04705,3,-15.95899438,-8.458710271,-0.965616359,-6.505995794,3.205586214,-17.02847883,5.756172268,-0.862791225,-5.951013372,1.397274272,-2.647613136,-1.539492392,2.593876831,-0.7506853,-5.371149004,-5.316062876,-2.529736315,3.262841682,4.218169949,1.215100431,-2.94828914,0.478017168,5.089386805,0.212304938,2.260717426,-0.112638982,-0.730019063,-4.373425341,1.252820676,3.476061843,6.305574311,-0.988178601,-26.04572566,-3.928148436,-8.428213298,6.481532131,-3.836049867,1.327097737,-5.11548675,0.652087973,1.048135368,-0.492079558,0.474540208,0.054710979,0.120788103,-0.193895354,0.684312836,0.370102459,-1.002973799,-0.231939375,-0.0845506,-0.17273624,-0.021539686,-0.528514416,-0.202313521,-0.188354777,0.012832802,0.192577181,0.103976387,-0.072701304,0.075083025,0.095272231,0.139294027,0.01368345
CTS/RCD-52,0.471,0.529,0.89,1,80,0.00985,4,40.8885633,-6.71651677,-1.723402155,16.67585374,7.68782026,6.407139687,4.41508469,-9.291411671,-2.141338341,20.67112212,-1.321357271,42.29773205,-7.136112804,19.84642523,-1.855427408,-5.550318379,2.663437671,-7.453041529,4.73941753,-0.897478155,11.3788486,5.244935501,0.287784371,-0.468700053,-0.141337917,-2.269477125,2.280101898,-2.490855358,-2.986774377,2.241945557,2.014585195,-0.565578133,-3.64725934,0.811332971,8.671678622,6.344620071,10.893697,7.535636309,6.513467343,-0.950727755,22.72827434,24.51505539,-8.79240798,-3.127561378,23.46454624,17.70437456,-8.127761694,17.56392303,-6.247552676,-2.965084717,-3.370537064,3.402905319,-1.040390409,-0.096847088,-0.785878548,1.766206949,1.926475997,-0.334210145,0.571271774,0.055391307,-0.065494199,0.004439351,0.176864418,0.65330846
cross-linked QPSF,0.792,0.208,3.808,1,80,0.0330412,6,5.965831359,-7.560410599,-4.550817855,-9.317446151,-7.162667976,-0.996498376,-2.117236618,2.097115829,5.408560611,0.31754166,-7.220201562,-1.406558469,-1.251094405,-0.458611014,-3.288933812,-3.526521355,2.448885801,-0.875903465,1.729304202,-1.526532331,-1.167563538,-0.966137366,0.795531934,0.775883691,1.617005745,0.27426361,-0.498426627,-2.097684683,-0.397796761,1.364096673,-1.890214541,0.269320623,14.62948446,10.95726566,-0.031014119,4.339538833,2.063938072,-3.822317694,-0.717494842,4.578436504,-6.008713152,4.89454363,2.831838838,-3.031479059,-4.260616936,-0.4288973,-3.179495321,2.516724615,0.269771104,-0.499104141,1.222630657,-0.894986198,0.68142311,-1.816519714,-2.426002183,0.041710111,0.296490022,-3.039717594,3.215020723,1.939378648,-3.036597068,-2.609685038,0.671596049,2.50694893
C18BQAPPO-3,0.26,0.74,0.351,1,80,0.08517,3,-8.586191986,19.11709716,2.904914481,10.30692704,-2.930740506,3.70239259,4.068294583,-5.460974983,3.220231519,-2.271270564,-4.21697666,1.633879023,3.223920576,-3.858383924,1.218132839,1.423386286,0.033556746,-0.482814939,-1.11633619,-2.719554596,-2.015441243,0.699602707,-3.633104941,-0.800727259,-5.700155166,1.806689869,-0.617439159,0.641665281,-1.949184692,0.942223364,1.380819678,1.51299105,-26.04572566,-3.928148436,-8.428213298,6.481532131,-3.836049867,1.327097737,-5.11548675,0.652087973,1.048135368,-0.492079558,0.474540208,0.054710979,0.120788103,-0.193895354,0.684312836,0.370102459,-1.002973799,-0.231939375,-0.0845506,-0.17273624,-0.021539686,-0.528514416,-0.202313521,-0.188354777,0.012832802,0.192577181,0.103976387,-0.072701304,0.075083025,0.095272231,0.139294027,0.01368345
QPPO-4,0.36,0.64,0.563,1,80,0.0544,7,-27.01161495,0.519984173,28.48615061,-4.508366577,12.56983784,0.168274803,2.920921273,2.352459332,3.056654383,-1.943076717,-1.250982921,0.442058081,-1.3087468,0.424048892,-1.080928836,2.640863654,-0.629272574,-0.870523154,1.340787367,-1.890405038,0.74302203,-0.966885873,0.684498432,0.530936422,0.720780822,0.359394051,1.728403973,0.606683116,-0.100485831,-0.426640968,0.368867864,0.058519091,-26.04572566,-3.928148436,-8.428213298,6.481532131,-3.836049867,1.327097737,-5.11548675,0.652087973,1.048135368,-0.492079558,0.474540208,0.054710979,0.120788103,-0.193895354,0.684312836,0.370102459,-1.002973799,-0.231939375,-0.0845506,-0.17273624,-0.021539686,-0.528514416,-0.202313521,-0.188354777,0.012832802,0.192577181,0.103976387,-0.072701304,0.075083025,0.095272231,0.139294027,0.01368345
