Membrane Name (abbreviation),Block A (x),Block B (1-x),Block A/B ratio,Polymer type,Conductivity Measuring Temperature [oC],Membrane Anion Conductivity [S/cm],Cluster No.,principal component 0_A,principal component 1_A,principal component 2_A,principal component 3_A,principal component 4_A,principal component 5_A,principal component 6_A,principal component 7_A,principal component 8_A,principal component 9_A,principal component 10_A,principal component 11_A,principal component 12_A,principal component 13_A,principal component 14_A,principal component 15_A,principal component 16_A,principal component 17_A,principal component 18_A,principal component 19_A,principal component 20_A,principal component 21_A,principal component 22_A,principal component 23_A,principal component 24_A,principal component 25_A,principal component 26_A,principal component 27_A,principal component 28_A,principal component 29_A,principal component 30_A,principal component 31_A,principal component 0_B,principal component 1_B,principal component 2_B,principal component 3_B,principal component 4_B,principal component 5_B,principal component 6_B,principal component 7_B,principal component 8_B,principal component 9_B,principal component 10_B,principal component 11_B,principal component 12_B,principal component 13_B,principal component 14_B,principal component 15_B,principal component 16_B,principal component 17_B,principal component 18_B,principal component 19_B,principal component 20_B,principal component 21_B,principal component 22_B,principal component 23_B,principal component 24_B,principal component 25_B,principal component 26_B,principal component 27_B,principal component 28_B,principal component 29_B,principal component 30_B,principal component 31_B
TrimPES-0.2,0.167,0.833,0.2,1,80,0.0811,1,79.67866492,47.29095485,-6.586963045,22.67868958,27.47889951,1.499831897,0.708177844,-6.557448795,4.944319055,-11.05654328,3.578453297,-8.954611371,-9.902318614,7.585916843,-9.297098769,-2.40233769,0.259040991,-1.065532006,2.088850387,5.475780462,-3.38332621,5.293959538,3.249438516,4.560613074,-1.414760668,2.630665786,0.309284012,-0.440477192,0.01849146,2.575099409,-0.671917814,-0.315477421,24.63582706,-17.06287826,5.41096684,1.833454408,-0.017493546,-1.854181548,-1.69543148,-0.728769893,-4.509465023,-0.889214324,-0.652753278,1.479919859,2.029944633,0.221373735,0.126344601,0.453385722,-0.033013516,-1.010579564,-2.635910783,-0.174013108,0.710123212,0.778217256,-2.390441782,-2.70719813,-0.646380597,-1.120700488,0.84942626,-0.508029928,0.232775809,-0.024701485,-0.498393416,0.073453546
TrimPES-0.4,0.286,0.714,0.4,1,80,0.12,1,79.67866492,47.29095485,-6.586963045,22.67868958,27.47889951,1.499831897,0.708177844,-6.557448795,4.944319055,-11.05654328,3.578453297,-8.954611371,-9.902318614,7.585916843,-9.297098769,-2.40233769,0.259040991,-1.065532006,2.088850387,5.475780462,-3.38332621,5.293959538,3.249438516,4.560613074,-1.414760668,2.630665786,0.309284012,-0.440477192,0.01849146,2.575099409,-0.671917814,-0.315477421,24.63582706,-17.06287826,5.41096684,1.833454408,-0.017493546,-1.854181548,-1.69543148,-0.728769893,-4.509465023,-0.889214324,-0.652753278,1.479919859,2.029944633,0.221373735,0.126344601,0.453385722,-0.033013516,-1.010579564,-2.635910783,-0.174013108,0.710123212,0.778217256,-2.390441782,-2.70719813,-0.646380597,-1.120700488,0.84942626,-0.508029928,0.232775809,-0.024701485,-0.498393416,0.073453546
ImPES-0.4,0.286,0.714,0.4,1,80,0.0576,1,22.17958004,-6.012059139,-2.687115514,-10.64417518,5.677424927,0.393554637,-0.489368548,-0.582893,-0.532521281,-5.208487368,-0.155556798,0.115134751,3.511903851,-0.979982489,0.301840724,0.241603641,-1.51060328,1.384141649,-2.176795297,1.457152196,1.649360316,-0.47822399,-0.545989051,-0.789926508,1.02662206,-4.377007173,0.41439329,-4.808777342,1.956058161,1.127327726,0.611591559,-0.450809004,24.63582706,-17.06287826,5.41096684,1.833454408,-0.017493546,-1.854181548,-1.69543148,-0.728769893,-4.509465023,-0.889214324,-0.652753278,1.479919859,2.029944633,0.221373735,0.126344601,0.453385722,-0.033013516,-1.010579564,-2.635910783,-0.174013108,0.710123212,0.778217256,-2.390441782,-2.70719813,-0.646380597,-1.120700488,0.84942626,-0.508029928,0.232775809,-0.024701485,-0.498393416,0.073453546
Bz-PBI-OBBA-OH,0.5,0.5,1,0,80,0.00684,6,15.91119461,-3.535931113,-12.85285714,-6.34517308,7.312793714,3.99934703,11.33537331,-1.142056141,3.576518724,-2.910868049,10.80403349,-1.504571298,3.070670578,-13.72645654,1.93885268,0.095055333,-2.914338703,0.98026382,6.413506247,-7.618929887,4.579816182,12.12682692,-8.371008058,4.084727233,6.637084405,-1.484690238,-3.96861954,0.178487142,-2.136788423,1.09947293,1.472480241,-0.578645186,34.32076377,29.19543205,4.53925803,-9.466579761,-4.870867668,14.48249593,-4.621091669,-4.397731974,3.807172163,-12.28590903,19.0095164,-2.692858239,-1.172825205,6.457311541,6.401723719,1.870664787,-5.511428251,-4.847583933,-6.002960113,-0.732736996,-5.502676768,3.915172415,2.222894511,-0.394583125,3.894290456,-2.789706776,0.971524417,-1.560836805,-1.518695906,0.68337735,0.822916071,-0.835407467
Bz-PBI-IPA-OH,0.5,0.5,1,0,80,0.00186,6,10.84876391,-3.474698201,-11.02355629,-6.983186945,7.529669276,4.436534381,13.07405102,-0.885719766,2.50611774,-2.281448902,10.91557006,-1.688813548,2.913606158,-15.35720552,3.451833633,-1.710933279,-3.504889567,0.805311639,8.228299723,-6.522826952,5.648341803,11.54120578,-8.473551326,3.4648755,6.466419753,-1.527691281,-2.201986773,-0.404848571,-2.203362709,1.707896451,-0.475774186,0.337037665,26.90228959,26.72355744,4.274285055,-10.2267133,-5.10394519,15.59410422,-4.286897149,-4.245109363,2.100255742,-11.65314466,17.32229911,-5.254360532,-1.611397388,7.47556164,4.677205868,1.35657828,-4.935057971,-4.838955205,-5.041971989,-0.014351324,-6.431392478,4.753388186,4.458412203,-0.74385289,3.970650392,-3.918207988,0.033886901,-1.44930396,-1.548135363,0.356549788,-0.546967055,-1.184591486
QP(VBC-An),0.909,0.091,9.99,1,80,0.0395,2,-23.83255104,4.870861261,-9.992737176,2.025026236,-3.010426539,-0.389533233,-0.095687417,4.315838328,-3.571594338,0.472097897,-0.91467391,2.148747881,1.434411479,-1.700627792,-3.424004167,-3.660895409,-3.034005608,-1.820351901,2.37252107,0.451238215,-4.379916066,-3.89339513,1.712669104,4.206240496,-0.398375026,-2.380230212,-1.586437363,3.317215869,-1.724217983,-0.603673623,4.516892925,-3.350436207,-18.98367119,3.474730681,5.61021275,-10.92661196,-3.565969187,2.066437154,0.97959338,-1.221048375,-2.000801804,4.316399656,-3.966681549,1.353505614,-2.720002555,1.887707185,2.022528089,-2.660653085,0.573922552,-2.018792582,3.759749489,4.350637179,-2.917859996,-1.193901047,1.432963599,-2.55521919,-1.949600962,-5.545664006,-1.699316147,-0.026698752,-4.115649268,11.86549305,0.329979465,10.11766359
QP(VBC-St),0.5,0.5,1,1,80,0.0373,2,-23.83255104,4.870861261,-9.992737176,2.025026236,-3.010426539,-0.389533233,-0.095687417,4.315838328,-3.571594338,0.472097897,-0.91467391,2.148747881,1.434411479,-1.700627792,-3.424004167,-3.660895409,-3.034005608,-1.820351901,2.37252107,0.451238215,-4.379916066,-3.89339513,1.712669104,4.206240496,-0.398375026,-2.380230212,-1.586437363,3.317215869,-1.724217983,-0.603673623,4.516892925,-3.350436207,-28.28249638,1.013691261,7.689042769,-7.116743942,-2.726612382,-1.987593254,1.202011286,0.123153078,2.064270946,0.687807689,-1.615479429,4.12400827,-0.796976832,-0.390321279,1.542244888,0.204801583,1.128758579,-0.927672546,3.041856848,5.284600673,-0.520559959,2.086752671,1.049464126,-2.389432282,-2.67331747,-1.365789239,0.898971952,-0.335771301,-1.135483765,-1.672303007,0.812738959,-1.554113588
QP(VBC-EPA),0.5,0.5,1,1,80,0.0327,2,-23.83255104,4.870861261,-9.992737176,2.025026236,-3.010426539,-0.389533233,-0.095687417,4.315838328,-3.571594338,0.472097897,-0.91467391,2.148747881,1.434411479,-1.700627792,-3.424004167,-3.660895409,-3.034005608,-1.820351901,2.37252107,0.451238215,-4.379916066,-3.89339513,1.712669104,4.206240496,-0.398375026,-2.380230212,-1.586437363,3.317215869,-1.724217983,-0.603673623,4.516892925,-3.350436207,-18.76761425,-3.778595892,5.730402509,-6.181936991,0.914855918,-1.67652369,0.72185915,1.77934063,0.966587519,4.471276176,1.373814987,4.92450646,-0.308931589,0.017172719,-1.311242236,-2.025807861,0.51295221,5.7208136,1.11917782,-1.568130466,2.019601797,2.522526254,-0.660900742,-1.597609353,0.941848517,0.260792953,4.769057239,3.803624581,-2.949777979,2.876250672,1.236751353,-3.318348452
Im-HPPES-1.0,0.3,0.7,0.429,1,80,0.085,1,50.08329983,7.850495688,-9.983029707,-0.233823745,11.76944657,-11.82222585,2.68590232,21.61390103,-4.160258526,9.54584364,0.573766011,0.816133611,4.190516482,0.457116113,-0.921588031,8.195788186,-0.882495657,-2.83711466,3.945822024,-0.655090951,-1.914896274,-1.037176498,-2.403534509,-0.044345311,-2.51247212,-0.979736509,-1.093410032,1.085056301,-0.169298759,-1.086428666,-2.750254932,0.230670871,18.26675626,6.799316433,-2.95322448,-9.297532779,2.807358826,-1.966536599,-1.462030192,-4.329658677,2.794875311,-0.584896784,0.569208992,-2.97139074,8.833670373,-8.754334483,0.69117015,-2.330979133,-2.349145104,-0.328306055,-1.752442829,0.729004129,0.252634381,-1.132309349,-2.036151124,0.835857424,-0.003707347,0.941493132,-1.671534472,-0.34089812,-4.773836124,-0.645292365,1.793985526,-0.879976489
C-HPPES-8/1,0.0252,0.7,0.036,1,80,0.109,1,49.57422562,9.153506786,-7.422792145,0.011747962,8.608011519,-10.90198987,1.697807133,18.44082845,-6.861419778,9.906133849,0.975895628,0.412376932,5.07065843,1.633388812,0.384859511,7.841085598,-0.553057187,-3.21438758,3.672573053,-0.18525764,-1.859270278,-1.915505697,-1.709953169,-0.761369684,-1.023152574,-0.911908921,-0.831018475,2.081937736,-0.651706621,0.295234375,-2.414209232,-0.344374178,18.26675626,6.799316433,-2.95322448,-9.297532779,2.807358826,-1.966536599,-1.462030192,-4.329658677,2.794875311,-0.584896784,0.569208992,-2.97139074,8.833670373,-8.754334483,0.69117015,-2.330979133,-2.349145104,-0.328306055,-1.752442829,0.729004129,0.252634381,-1.132309349,-2.036151124,0.835857424,-0.003707347,0.941493132,-1.671534472,-0.34089812,-4.773836124,-0.645292365,1.793985526,-0.879976489
